Index,School Name,State,Athletics Site Title,Athletics Site URL
445,University of Alabama in Huntsville,Alabama,UAH Chargers,http://www.uahchargers.com/
446,Miles College,Alabama,Miles College,http://www.milesgoldenbears.com/
447,University of Montevallo,Alabama,University of Montevallo Athletics,http://www.montevallofalcons.com/
448,University of North Alabama,Alabama,University of North Alabama Athletics,http://www.roarlions.com/
449,Stillman College,Alabama,Athletics - Stillman College,http://www.stillman.edu/athletics.html
450,Tuskegee University,Alabama,Tuskegee University Athletics | Home,http://athletics.tuskegee.edu/
451,University of West Alabama,Alabama,University of West Alabama Athletics,http://www.uwaathletics.com/
452,University of Alaska Anchorage,Alaska,GoSeawolves.com - Official Athletics Website of the University of ...,http://www.goseawolves.com/
453,University of Alaska Fairbanks,Alaska,University of Alaska Fairbanks Athletics,http://alaskananooks.com/
455,Arkansas Tech University,Arkansas,Arkansas Tech Athletics - Arkansas Tech University,http://athletics.atu.edu/
456,University of Arkansas – Fort Smith,Arkansas,University of Arkansas - Fort Smith Athletics,http://www.uafortsmithlions.com/
457,University of Arkansas at Monticello,Arkansas,UAMSPORTS.COM --- The ... - University of Arkansas at Monticello,http://www.uamont.edu/athletics/
458,Harding University,Arkansas,Harding University Athletics,http://www.hardingsports.com/
460,Ouachita Baptist University,Arkansas,Ouachita Baptist University Athletics,http://www.obutigers.com/
461,Southern Arkansas University,Arkansas,Mulerider Athletics – Southern Arkansas University,http://muleriderathletics.com/
462,Academy of Art University,California,Academy of Art University: Athletics,http://athletics.academyart.edu/
463,Azusa Pacific University,California,Home - Azusa Pacific Athletics - Azusa Pacific University,http://www.apu.edu/athletics/
464,California Baptist University,California,California Baptist University Athletics,http://www.cbulancers.com/
465,"California State Polytechnic University, Pomona",California,Cal Poly Pomona Athletics,http://www.broncoathletics.com/
466,"California State University, Chico",California,Chico State Athletics,http://www.chicowildcats.com/
467,"California State University, Dominguez Hills",California,Cal State Dominguez Hills Athletics,http://www.gotoros.com/
468,"California State University, East Bay",California,Cal State East Bay Athletics,http://www.eastbaypioneers.com/
470,"California State University, Monterey Bay",California,Cal State Monterey Bay Athletics,http://www.otterathletics.com/
471,"California State University, San Bernardino",California,Cal State San Bernardino Athletics,http://csusbathletics.com/
472,"California State University, Stanislaus",California,California State University Stanislaus Athletics,http://warriorathletics.com/
473,Dominican University of California,California,Dominican University of California Athletics,http://www.dominicanathletics.com/
474,Fresno Pacific University,California,Fresno Pacific Athletics,http://fpuathletics.com/
475,Humboldt State University,California,Humboldt State University Athletics,http://hsujacks.com/
476,Notre Dame de Namur University,California,Notre Dame de Namur University Athletics,http://www.ndnuargos.com/
477,Point Loma Nazarene University,California,Point Loma Nazarene University Athletics,http://www.plnusealions.com/
478,San Francisco State University,California,San Francisco State University Athletics,http://www.sfstategators.com/
479,Sonoma State University,California,Sonoma State University Athletics,http://sonomaseawolves.com/
480,"University of California, San Diego",California,UCSDTritons.com-Official Web Site of UC San Diego Athletics,http://www.ucsdtritons.com/
482,Colorado Christian University,Colorado,Colorado Christian Athletics,http://www.ccucougars.com/
483,Colorado School of Mines,Colorado,Colorado School of Mines Athletics,http://www.csmorediggers.com/
484,Colorado State University–Pueblo,Colorado,CSU PUEBLO:Official Site of ThunderWolves Athletics,http://www.gothunderwolves.com/
486,Mesa State College,Colorado,Colorado Mesa University,http://www.mesamavs.com/
487,Metropolitan State College of Denver,Colorado,Metropolitan State College of Denver Athletics,http://gometrostate.com/
489,University of Colorado Colorado Springs,Colorado,University of Colorado at Colorado Springs Athletics,http://www.gomountainlions.com/
490,Western State College of Colorado,Colorado,Western State College of Colorado,http://www.wscathletics.com/
491,University of Bridgeport,Connecticut,University of Bridgeport :: Home,http://www.bridgeport.edu/
493,Post University,Connecticut,Post University Athletics,http://www.posteagles.com/
495,Goldey–Beacom College,Delaware,Goldey-Beacom College Athletics,http://gbcathletics.com/
496,Wilmington University,Delaware,Wilmington University Athletics,http://www.wilmu.edu/athletics/
497,University of the District of Columbia,District of Columbia,University of the District of Columbia Firebirds,http://udcfirebirds.com/
498,Barry University,Florida,"Intercollegiate Athletics : Barry University, Miami Shores, Florida",http://www.barry.edu/athletics/
499,Eckerd College,Florida,Eckerd College Athletics,http://www.eckerdtritons.com/
500,Flagler College,Florida,Flagler College Athletics,http://athletics.flagler.edu/
501,Florida Southern College,Florida,FSCMocs.com ** Florida Southern College Athletics,http://fscmocs.com/
502,Florida Institute of Technology,Florida,FloridaTechSports.com - Home - Official Site of Florida Tech Athletics,http://floridatechsports.com/
503,Lynn University,Florida,"Lynn University Fighting Knights, Boca Raton, Florida",http://www.lynnfightingknights.com/
504,Nova Southeastern University,Florida,Nova Southeastern University,http://nsusharks.com/index.aspx?path=
505,Palm Beach Atlantic University,Florida,Palm Beach Atlantic University  Athletics,http://pbasailfish.com/
507,Saint Leo University,Florida,Saint Leo University Athletics,http://saintleolions.com/
508,University of Tampa,Florida,University of Tampa Athletics | TampaSpartans.com,http://tampaspartans.com/
510,Albany State University,Georgia,Athletics - Albany State University,http://www.asurams.edu/web/athletics
511,Armstrong Atlantic State University,Georgia,Armstrong Atlantic State University,http://www.aasupirates.com/
512,Augusta State University,Georgia,Augusta State,http://www.jaguarsroar.com/
513,Clark Atlanta University,Georgia,Athletics Welcome - Clark Atlanta University,http://www.cau.edu/Athletics_Mission.aspx
514,Clayton State University,Georgia,The Official Website of Clayton State University Athletics,http://athletics.clayton.edu/
515,Columbus State University,Georgia,Columbus State University Athletics,http://www.csucougars.com/
516,Fort Valley State University,Georgia,Fort Valley State University,http://www.fvsusports.com/
517,Georgia College & State University,Georgia,Athletics – Georgia College & State University,http://www.gcsubobcats.com/landing/index?preview=true
518,Georgia Southwestern State University,Georgia,Georgia Southwestern Athletics,http://www.gswcanes.com/
519,Morehouse College,Georgia,Athletics - Morehouse College,http://www.morehouse.edu/athletics/
520,North Georgia College & State University,Georgia,North Georgia College & State University,http://www.northgeorgia.edu/
521,Paine College,Georgia,Paine College Athletics,http://www.paineathletics.com/
522,Shorter University,Georgia,Shorter University Athletics,http://goshorterhawks.com/
524,University of West Georgia,Georgia,West Georgia Athletics,http://www.uwgsports.com/
525,Young Harris College,Georgia,The Official Website of Young Harris College Athletics,http://www.yhcathletics.com/
526,Brigham Young University–Hawaii,Hawaii,BYU-Hawaii Athletics,http://sports.byuh.edu/
528,University of Hawaiʻi at Hilo,Hawaii,University of Hawaii at Hilo - Vulcan Athletics,http://hiloathletics.com/
529,Hawaiʻi Pacific University,Hawaii,HAWAI'I PACIFIC UNIVERSITY ATHLETICS,http://goseawarriors.com/
530,Northwest Nazarene University,Idaho,Northwest Nazarene University Athletics,http://www.nnusports.com/
531,University of Illinois at Springfield,Illinois,University of Illinois Springfield - UIS,http://www.uis.edu/
532,Lewis University,Illinois,Lewis University Flyers,http://lewisflyers.com/
533,McKendree University,Illinois,McKendree University Athletics,http://www.mckbearcats.com/
534,Quincy University,Illinois,Quincy University Athletics,http://hawks.quincy.edu/
535,University of Indianapolis,Indiana,University of Indianapolis Athletics,http://athletics.uindy.edu/
536,Oakland City University,Indiana,Oakland City University | Athletics,http://www.oak.edu/athletics/
538,University of Southern Indiana,Indiana,University of Southern Indiana Athletics,http://gousieagles.com/
539,Upper Iowa University,Iowa,Upper Iowa University Athletics,http://upperiowaathletics.com/
540,Emporia State University,Kansas,Emporia State University - Athletics,http://www.emporia.edu/athletics/
541,Fort Hays State University,Kansas,Fort Hays State University,http://fhsuathletics.com/
543,Pittsburg State University,Kansas,Home of Pittsburg State Gorillas Athletics - Pittstategorillas.com ...,http://www.pittstategorillas.com/
544,Washburn University,Kansas,Washburn University Athletics,http://www.wusports.com/
545,Bellarmine University,Kentucky,Bellarmine University Athletics,http://athletics.bellarmine.edu/
546,Kentucky State University,Kentucky,Kentucky State University,http://www.ksuthorobreds.com/
547,Kentucky Wesleyan College,Kentucky,Kentucky Wesleyan College Athletics,http://www.kwcpanthers.com/
548,Northern Kentucky University,Kentucky,Northern Kentucky University Athletics,http://nkunorse.com/
549,University of New Orleans,Louisiana,University of New Orleans Athletics,http://www.unoprivateers.com/
550,Bowie State University,Maryland,Bowie State University Athletics,http://bsubulldogs.com/
552,American International College,Massachusetts,AIC Athletics,http://www.aicyellowjackets.com/
553,Assumption College,Massachusetts,Assumption Athletics,http://www.assumptiongreyhounds.com/
554,Bentley University,Massachusetts,Bentley University Athletics,http://bentleyfalcons.com/
555,Merrimack College,Massachusetts,Merrimack College Athletics,http://www.merrimackathletics.com/
556,Stonehill College,Massachusetts,Stonehill Athletics,http://www.stonehillskyhawks.com/
557,University of Massachusetts Lowell,Massachusetts,UMass Lowell Official Athletic Site,http://www.goriverhawks.com/
558,Grand Valley State University,Michigan,Grand Valley State University Official Athletic Site,http://www.gvsulakers.com/
560,Lake Superior State University,Michigan,Lake Superior State University Athletics,http://www.lssulakers.com/
561,Michigan Technological University,Michigan,MichiganTechHuskies.com - Michigan Tech University Athletics,http://www.michigantechhuskies.com/
563,Northwood University,Michigan,Timberwolves Home - Northwood University Athletics (Michigan),http://timberwolves.gonorthwood.com/
564,Saginaw Valley State University,Michigan,SVSU athletics - Saginaw Valley State Athletics,http://athletics.svsu.edu/landing/index
565,Wayne State University,Michigan,Wayne State University Athletics,http://wsuathletics.com/
566,Bemidji State University,Minnesota,BSUBeavers.com - Home - Bemidji State  University Official Athletic ...,http://www.bsubeavers.com/
567,Concordia University,Minnesota,Concordia University Athletics,http://www.gocugo.com/
568,University of Minnesota Crookston,Minnesota,"University of Minnesota, Crookston Athletics",http://www.goldeneaglesports.com/
569,University of Minnesota Duluth,Minnesota,UMD Bulldogs,http://www.umdbulldogs.com/
570,"Minnesota State University, Mankato",Minnesota,Minnesota State Mavericks,http://www.msumavericks.com/
571,Minnesota State University Moorhead,Minnesota,Minnesota State University Moorhead,http://msumdragons.com/
572,St. Cloud State University,Minnesota,St. Cloud State University Husky Athletics,http://www.stcloudstate.edu/athletics/
573,Southwest Minnesota State University,Minnesota,Southwest Minnesota State University Athletics,http://smsumustangs.com/
574,Winona State University,Minnesota,Winona State Warriors,http://www.winonastatewarriors.com/
575,Delta State University,Mississippi,Delta State University Athletics,http://www.gostatesmen.com/
576,Drury University,Missouri,Drury University Athletics,http://www.drurypanthers.com/
577,Lincoln University of Missouri,Missouri,Lincoln University Athletics,http://www.lubluetigers.com/index.aspx
578,Lindenwood University,Missouri,Lindenwood University Athletics,http://www.lindenwoodlions.com/
580,Missouri University of Science and Technology,Missouri,Missouri University of Science and Technology Athletics,http://sports.mst.edu/
581,Missouri Southern State University,Missouri,Missouri Southern Athletics,http://www.mssulions.com/
582,Missouri Western State University,Missouri,GoGriffons.com - Missouri Western State University Athletics,http://www.gogriffons.com/
583,Northwest Missouri State University,Missouri,NorthwestBearcats.com - Northwest Missouri State University,http://www.nwmissouri.edu/sports/
584,Rockhurst University,Missouri,Rockhurst University Athletics Department,http://www.rockhurst.edu/athletics/
585,Southwest Baptist University,Missouri,Southwest Baptist University Athletics,http://www.sbubearcats.com/
586,Truman State University,Missouri,Truman State University Athletics,http://www.trumanbulldogs.com/
587,University of Central Missouri,Missouri,University of Central Missouri : Intercollegiate Athletics,http://www.ucmo.edu/athletics/
588,University of Missouri–St. Louis,Missouri,UMSL,http://www.umsltritons.com/
589,William Jewell College,Missouri,Athletics - William Jewell College,http://www.jewell.edu/william_jewell/gen/william_and_jewell_generated_pages/Athletics_m42.html
590,Montana State University Billings,Montana,Montana State University Billings,http://www.msubsports.com/
591,Chadron State College,Nebraska,Athletics Home - Athletics - Chadron State College,http://www.csc.edu/athletics/
592,University of Nebraska at Kearney,Nebraska,University of Nebraska at Kearney,http://www.lopers.com/
593,Wayne State College,Nebraska,Wayne State College Athletics,http://www.wscwildcats.com/
594,Franklin Pierce University,Nebraska,Ravens - Franklin Pierce - Franklin Pierce University,http://athletics.franklinpierce.edu/
595,Saint Anselm College,Nebraska,st anselm,http://athletics.anselm.edu/
596,Southern New Hampshire University,Nebraska,Official Website of the Penmen - SNHU,http://www.snhupenmen.com/
597,Bloomfield College,Nebraska,Bloomfield College Athletics,http://www.bcdeacons.com/
