278,Peace College ,North Carolina,Peace Pacers,http://www.gopeacepacers.org/
23,Trinity College ,Connecticut,Trinity College Athletics,http://athletics.trincoll.edu/
270,William Smith College ,New York,Hobart and William Smith Colleges Athletics,http://www.hwsathletics.com/
161,Augsburg College,Minnesota,Augsburg College Athletics,http://athletics.augsburg.edu/
96,University of Southern Maine ,Maine,University of Southern Maine Athletics,http://southernmainehuskies.com/
154,Albion College ,Michigan,Albion College - Briton Sports Home | Albion College Sports,http://www.albion.edu/sports/
114,Bridgewater State University ,Massachusetts,Bridgewater State University Athletics :,http://bscbears.com/
181,Millsaps College ,Mississippi,Millsaps College Athletics,http://gomajors.com/
128,Mount Ida College ,Massachusetts,Mount Ida College Athletics,http://www.mountidamustangs.com/
26,Wesley College ,Delaware,Wesley College - Athletic Department,http://athletics.wesley.edu/
387,University of Texas at Dallas ,Texas,University of Texas at Dallas Intercollegiate Athletics,http://cometsports.utdallas.edu/
406,University of Mary Washington ,Virginia,University of Mary Washington Athletics,http://umweagles.com/
200,Kean University ,New Jersey,Kean University Athletics,http://www.keanathletics.com/
257,State University of New York at New Paltz ,New York,New Paltz Athletics,http://www.nphawks.com/
31,Berry College ,Georgia,Berry College Athletics,http://www.berryvikings.com/
391,Johnson State College ,Vermont,Johnson State College Athletics,http://athletics.jsc.edu/
290,Kenyon College ,Ohio,Athletics - Kenyon College,http://athletics.kenyon.edu/
22,Saint Joseph College ,Connecticut,Saint Joseph College | Athletics,http://www.sjc.edu/athletics/
423,Carthage College,Wisconsin,Carthage College Athletics,http://athletics.carthage.edu/
59,Rockford College ,Illinois,Athletics - Rockford College,http://www.rockford.edu/?Athletics
104,St. Mary's College of Maryland ,Maryland,St. Mary's College of Maryland,http://www.smcm.edu/
125,Lasell College ,Massachusetts,Lasell College Athletics,http://laserpride.lasell.edu/
168,Hamline University,Minnesota,Athletics | Hamline University,http://www.hamline.edu/athletics/
151,Worcester Polytechnic Institute ,Massachusetts,WPI Athletics,http://wpi.prestosports.com/
426,Lakeland College,Wisconsin,Muskie Athletics - Lakeland College,http://lakeland.edu/athletics/
419,Bethany College ,West Virginia,Bethany College :: Athletics,http://www.bethanywv.edu/athletics
64,Franklin College ,Indiana,Franklin College Athletics,http://www.franklingrizzlies.com/
41,Benedictine University ,Illinois,Benedictine University Athletics,http://athletics.ben.edu/
326,Gwynedd–Mercy College ,Pennsylvania,Gwynedd-Mercy College Athletics,http://www.gmcgriffins.com/
170,Martin Luther College,Minnesota,Athletics — Martin Luther College,http://www.mlc-wels.edu/home/athletics
289,John Carroll University ,Ohio,John Carroll University Athletics,http://jcusports.com/
309,Alvernia University ,Pennsylvania,Alvernia University Athletics,http://athletics.alvernia.edu/
207,Rutgers–Newark ,New Jersey,Rutgers-Newark Athletics,http://www.rutgersnewarkathletics.com/
30,Agnes Scott College ,Georgia,Agnes Scott Athletics. Smart Women Sweat. - Agnes Scott College,http://www.agnesscott.edu/athletics
375,University of Dallas ,Texas,University of Dallas - Athletics,http://www.udallas.edu/athletics
198,Drew University ,New Jersey,Drew University Athletics,http://www.drewrangers.com/
12,Pomona-Pitzer ,California,Pomona-Pitzer Colleges Athletics,http://www.pe.pomona.edu/
13,University of Redlands ,California,University of Redlands Athletics,http://www.goredlands.com/
84,Transylvania University ,Kentucky,Transylvania University Athletics,http://www.transysports.com/
440,University of Wisconsin–Stevens Point,Wisconsin,University of Wisconsin - Stevens Point,http://athletics.uwsp.edu/
